Investment Name	Sponsor	Property Type	Location	Average Annual Return	Equity Multiple	Holding Period	City	Location Note	Asset Class	Asset Class 2
AC - Tampa, FL & SHS - Orlando, FL (2-Pack)	Peachtree Group	Credit - Hotel		0.3143	1.87	2.77			Credit / Debt	
Wilkinson Crossings at Dawsonville	Bluerock	Multifamily / residential	GA	0.108708	1.135885	1.25	Dawsonville		Multifamily / Residential	
Laveen Market Place - Phoenix, AZ	Passco Companies	Retail	AZ	-0.0544	0.446	10.09	Phoenix		Net Lease (NNN) Retail	
Cary Custom 1031, L.L.C.	Inland Private Capital	Multifamily		0.0954	1.35	3.67			Multifamily / Residential	
Lincoln Plaza - Tacoma, WA	Passco Companies	Retail	WA	0.034	1.34	10	Tacoma		Net Lease (NNN) Retail	
Lexington - Nashville, TN	Passco Companies	Multifamily / residential	TN	0.0875	1.4594	5.25	Nashville		Multifamily / Residential	
Holiday Inn Express - Bellevue, KY	Peachtree Group	Credit - Hotel		0.1702	1.11	0.65			Credit / Debt	
Passco Diversified Development Fund III, LLC	Passco Companies	Undeveloped / pre-development land			0.413				Undeveloped Land	
BentoLiving (Note A) - Nashville, TN	Peachtree Group	Credit - Hotel		0.1357	1.13	0.96			Credit / Debt	
The Mill at MSU - Starkville, MS	Peachtree Group	Mixed Use		0.0768	1.68	8.85				
United Healthcare Portfolio - Las Vegas, NV	Syndicated Equities	Medical Office	NV	0.0834	1.48	5.75	Las Vegas		Healthcare / Medical Office	
Holiday Inn Express - Tavares, FL	Peachtree Group	Credit - Hotel		0.1377	1.17	1.23			Credit / Debt	
Hampton Inn & Suites - Orlando, FL	Peachtree Group	Hotel		0.4531	1.98	2.16			Hotel / Hospitality	
Carino's	AEI	Net-leased restaurant	TX	0.004655	1.048	10.310746	McAllen		Net Lease (NNN) Retail	
Lafayette Multifamily DST	Inland Private Capital	Multifamily		0.0465	1.46	9.9			Multifamily / Residential	
Broadway Commons DBT	Inland Private Capital	Retail		0.043	1.57	13.25			Net Lease (NNN) Retail	
The Sanctuary	Bluerock	Multifamily / residential	NV	0.619135	3.012189	3.25	Las Vegas		Multifamily / Residential	
KinderCare / Children's World	AEI	Net-leased early education / childcare	WI	0.060306	1.8934	14.814511	De Pere		Net Lease (NNN) Retail	
River Oaks - Houston, TX	Passco Companies	Self storage	TX	-0.0061	0.9507	8.08	Houston		Self Storage	
Passco Diversified Fund II, LLC	Passco Companies	Debt / notes program			0.473				Credit / Debt	
Vicker’s Historic Roswell	Bluerock	Multifamily / residential	GA	0.077967	1.357349	4.583333	Roswell		Multifamily / Residential	
Holiday Inn Express - Birmingham, AL	Peachtree Group	Credit - Hotel		0.6832	3.4	3.51			Credit / Debt	
Aloft / Element - Round Rock, TX	Peachtree Group	Credit - Hotel		0.1206	1.59	4.89			Credit / Debt	
Cottages at Port St. Lucie	Bluerock	Multifamily / residential	FL	0.151011	1.604045	4	Port St. Lucie		Multifamily / Residential	
Sentry Office Building DBT	Inland Private Capital	Office		0.0731	2.29	17.65			Office	
FL-NY Multifamily Portfolio DST	Inland Private Capital	Multifamily		0.207	2.19	5.75			Multifamily / Residential	
Midgard Naples Vanderbilt	Reliant	Self storage		1.336168	3.89	2.16		United States - state not disclosed in the Full Cycle Programs table	Self Storage	
Mt. Pleasant Retail Venture DST	Inland Private Capital	Retail		0.095	1.84	8.84			Net Lease (NNN) Retail	
Multifamily 6 - El Paso Apartment Portfolio	ExchangeRight	Multifamily	TX	0.17907	1.68	3.797399	El Paso		Multifamily / Residential	
Aurora 1031, L.L.C.	Inland Private Capital	Retail		0.0452	1.55	12.17			Net Lease (NNN) Retail	
